episode_idx,reward,hp_violations,nhp_violations,avg_csi,avg_traffic,scenario_difficulty
0,-100043.35549024493,0,897,0.020750767024233938,5.0,240.94333721851223
1,-77249.22846110165,960,2349,0.08908069875463843,5.0,56.12825159263875
2,-65659.05088431388,0,0,0.04936406871676445,5.0,101.2861954814213
3,-99908.59966222942,137,784,0.04056993061676621,5.0,123.24094922125637
4,-169096.04364249855,733,2230,0.06182733967900276,5.0,80.8690646709704
5,-129142.8108163774,0,2042,0.050341526839882134,5.0,99.31960737495048
6,-152251.7957673967,0,2699,0.061653800524771214,5.0,81.09668602351793
7,-152883.70244772732,937,1726,0.04210201308131218,5.0,118.75634625825145
8,-147787.0495152846,584,1895,0.05326428120955825,5.0,93.86977570490643
9,-184972.89639221132,937,1824,0.05390567008405924,5.0,92.75290037769466
10,-127519.37166658044,955,1681,0.09280473385751248,5.0,53.87598149567628
11,-98015.5831110403,0,2523,0.038647481136023995,5.0,129.37119009677028
12,-74241.81332549453,0,835,0.06710772440209985,5.0,74.50596095436362
13,-72005.91427113861,0,835,0.06180418897047639,5.0,80.89935623995002
14,-69817.06395099312,0,2615,0.08565460411831737,5.0,58.3732967791976
15,-154641.15096002817,0,1979,0.058550547923892735,5.0,85.39483886060822
16,-121656.37266878039,930,2741,0.057706530552357437,5.0,86.6438045804707
17,-137749.59886256047,919,2817,0.05033018442243337,5.0,99.34198961094633
18,-155686.77398631722,902,2383,0.07460803846269846,5.0,67.01600909251498
19,-108637.02260225266,0,1504,0.03624937275238335,5.0,137.92961617674027
